load,perf,error
0,0,0
2000,176000,3603
4000,352000,7107
6000,522000,3592
8000,712000,6115
10000,870000,1491
12000,1056000,19436
14000,1217962,19293
16000,1352155,14589
18000,1336748,4316
20000,1309150,2123
22000,1277991,3720
