Load,IDPS_FW,IDPS_FW_Error,FW_IDPS,FW_IDPS_Error
0,118000,2207,112387,905
1000,112009,3269,113763,280
2000,92082,4566,107721,1916
3000,94233,870,109991,417
4000,77352,307,114247,2036
5000,56863,2118,111315,1253
6000,54136,680,109976,1420
7000,36865,1830,112019,2009
8000,33217,571,115568,1307
9000,28185,443,111134,521
10000,25146,1042,113224,2000
11000,24341,792,106761,862
12000,23634,120,112586,30
13000,28179,25,113224,404
14000,24341,10,115369,1256
