Load,IDPS_FW,IDPS_FW_Error,FW_IDPS,FW_IDPS_Error
0,124000,657,122000,603
500,124000,307,31732,373
1000,43442,353,7238,44
1500,21089,536,5004,0
2000,14911,56,4862,95
2500,10089,63,1273,16
3000,5257,7,2344,24
3500,5476,158,1564,2
4000,5670,260,6748,88
4500,5475,54,7007,24
5000,5224,174,7267,41
