load,direct,direct_error,fw,fw_error
0,120000,84,120000,952
1000,120000,2268,120000,268
2000,83830,1278,120000,523
3000,80000,230,120000,772
4000,77769,520,120000,999
5000,72000,277,120000,792
6000,60000,2024,120000,719
7000,50000,2492,118000,2303
8000,40000,1536,118000,634
9000,32000,1316,120000,2131
10000,17978,608,120000,1018
11000,19796,752,120000,1404
12000,17372,666,120000,1394
13000,17877,581,120000,531
14000,17877,658,120000,558
