load,perf,error
0,0,0
2000,186000,3603
4000,356000,7107
6000,534000,3592
8000,712000,6115
10000,879914,1491
12000,1068000,19436
14000,1245933,19293
16000,1398098,14589
18000,1364232,4316
20000,1322815,2123
22000,1336232,3720
